engine_name,RFP_intercept,RFP_slope
E_RFP100_0,100,0
E_RFP200_0,200,0
E_RFP300_0,300,0
E_RFP-100_167,-100,166.66666666666666
E_RFP0_167,0,166.66666666666666
E_RFP100_167,100,166.66666666666666
E_RFP200_167,200,166.66666666666666
E_RFP300_167,300,166.66666666666666
E_RFP-100_333,-100,333.3333333333333
E_RFP0_333,0,333.3333333333333
E_RFP100_333,100,333.3333333333333
E_RFP200_333,200,333.3333333333333
E_RFP300_333,300,333.3333333333333
E_RFP-100_500,-100,500
E_RFP0_500,0,500
E_RFP100_500,100,500
E_RFP200_500,200,500
E_RFP300_500,300,500
