15 seconds no increase

--- ITERATION 1: Tuning NMP_intercept (3.00 -> 1.46) ---
  G1: Score 0.5 | P(Delta >= 5) = 0.476 | continue
  G2: Score 0.0 | P(Delta >= 5) = 0.161 | continue
  G3: Score 1.0 | P(Delta >= 5) = 0.480 | continue
  G4: Score 0.0 | P(Delta >= 5) = 0.282 | continue
  G5: Score 0.0 | P(Delta >= 5) = 0.168 | continue
  G6: Score 0.0 | P(Delta >= 5) = 0.114 | continue
  G7: Score 0.0 | P(Delta >= 5) = 0.056 | reject_H0

--- ITERATION 2: Tuning LMR_slope (0.00 -> 0.89) ---
  G1: Score 1.0 | P(Delta >= 5) = 0.814 | continue
  G2: Score 0.5 | P(Delta >= 5) = 0.831 | continue
  G3: Score 1.0 | P(Delta >= 5) = 0.914 | continue
  G4: Score 0.5 | P(Delta >= 5) = 0.904 | continue
  G5: Score 1.0 | P(Delta >= 5) = 0.948 | continue
  G6: Score 0.5 | P(Delta >= 5) = 0.942 | continue
  G7: Score 1.0 | P(Delta >= 5) = 0.962 | accept_H0

--- ITERATION 3: Tuning RFP_slope (0.00 -> 183.55) ---
  G1: Score 0.5 | P(Delta >= 5) = 0.497 | continue
  G2: Score 0.0 | P(Delta >= 5) = 0.168 | continue
  G3: Score 1.0 | P(Delta >= 5) = 0.506 | continue
  G4: Score 0.0 | P(Delta >= 5) = 0.291 | continue
  G5: Score 0.5 | P(Delta >= 5) = 0.313 | continue
  G6: Score 0.5 | P(Delta >= 5) = 0.294 | continue
  G7: Score 1.0 | P(Delta >= 5) = 0.477 | continue
  G8: Score 0.5 | P(Delta >= 5) = 0.482 | continue
  G9: Score 0.5 | P(Delta >= 5) = 0.461 | continue
  G10: Score 0.0 | P(Delta >= 5) = 0.327 | continue
  G11: Score 1.0 | P(Delta >= 5) = 0.497 | continue
  G12: Score 0.0 | P(Delta >= 5) = 0.332 | continue
  G13: Score 0.5 | P(Delta >= 5) = 0.344 | continue
  G14: Score 0.5 | P(Delta >= 5) = 0.350 | continue
  G15: Score 0.5 | P(Delta >= 5) = 0.342 | continue
  G16: Score 0.0 | P(Delta >= 5) = 0.225 | continue
  G17: Score 0.0 | P(Delta >= 5) = 0.146 | continue
  G18: Score 0.5 | P(Delta >= 5) = 0.158 | continue
  G19: Score 1.0 | P(Delta >= 5) = 0.246 | continue
  G20: Score 0.0 | P(Delta >= 5) = 0.167 | reject_H0

--- ITERATION 4: Tuning LMR_intercept (0.00 -> 0.52) ---
  G1: Score 1.0 | P(Delta >= 5) = 0.816 | continue
  G2: Score 0.0 | P(Delta >= 5) = 0.468 | continue
  G3: Score 0.5 | P(Delta >= 5) = 0.482 | continue
  G4: Score 0.0 | P(Delta >= 5) = 0.299 | continue
  G5: Score 1.0 | P(Delta >= 5) = 0.476 | continue
  G6: Score 0.0 | P(Delta >= 5) = 0.324 | continue
  G7: Score 1.0 | P(Delta >= 5) = 0.466 | continue
  G8: Score 0.5 | P(Delta >= 5) = 0.472 | continue
  G9: Score 1.0 | P(Delta >= 5) = 0.618 | continue
  G10: Score 0.0 | P(Delta >= 5) = 0.487 | continue
  G11: Score 1.0 | P(Delta >= 5) = 0.600 | continue
  G12: Score 1.0 | P(Delta >= 5) = 0.723 | continue
  G13: Score 1.0 | P(Delta >= 5) = 0.787 | continue
  G14: Score 0.0 | P(Delta >= 5) = 0.679 | continue
  G15: Score 1.0 | P(Delta >= 5) = 0.786 | continue
  G16: Score 0.5 | P(Delta >= 5) = 0.761 | continue
  G17: Score 1.0 | P(Delta >= 5) = 0.825 | continue
  G18: Score 0.0 | P(Delta >= 5) = 0.746 | continue
  G19: Score 1.0 | P(Delta >= 5) = 0.826 | continue
  G20: Score 0.5 | P(Delta >= 5) = 0.820 | continue
  G21: Score 1.0 | P(Delta >= 5) = 0.851 | continue
  G22: Score 0.0 | P(Delta >= 5) = 0.795 | continue
  G23: Score 1.0 | P(Delta >= 5) = 0.844 | continue
  G24: Score 0.0 | P(Delta >= 5) = 0.789 | continue
  G25: Score 0.5 | P(Delta >= 5) = 0.796 | continue
  G26: Score 0.0 | P(Delta >= 5) = 0.712 | continue
  G27: Score 0.5 | P(Delta >= 5) = 0.699 | continue
  G28: Score 0.0 | P(Delta >= 5) = 0.613 | continue
  G29: Score 1.0 | P(Delta >= 5) = 0.697 | continue
  G30: Score 0.0 | P(Delta >= 5) = 0.615 | continue
  G31: Score 1.0 | P(Delta >= 5) = 0.685 | continue
  G32: Score 0.0 | P(Delta >= 5) = 0.610 | continue
  G33: Score 1.0 | P(Delta >= 5) = 0.680 | continue
  G34: Score 0.0 | P(Delta >= 5) = 0.601 | continue
  G35: Score 1.0 | P(Delta >= 5) = 0.677 | continue
  G36: Score 0.0 | P(Delta >= 5) = 0.619 | continue
  G37: Score 1.0 | P(Delta >= 5) = 0.672 | continue
  G38: Score 0.0 | P(Delta >= 5) = 0.608 | continue
  G39: Score 1.0 | P(Delta >= 5) = 0.661 | continue
  G40: Score 0.0 | P(Delta >= 5) = 0.608 | continue
  G41: Score 1.0 | P(Delta >= 5) = 0.666 | continue
  G42: Score 0.0 | P(Delta >= 5) = 0.566 | continue
  G43: Score 0.5 | P(Delta >= 5) = 0.595 | continue
  G44: Score 0.5 | P(Delta >= 5) = 0.579 | continue
  G45: Score 1.0 | P(Delta >= 5) = 0.664 | continue
  G46: Score 0.0 | P(Delta >= 5) = 0.589 | continue
  G47: Score 1.0 | P(Delta >= 5) = 0.616 | continue
  G48: Score 0.5 | P(Delta >= 5) = 0.631 | continue
  G49: Score 1.0 | P(Delta >= 5) = 0.706 | continue
  G50: Score 0.5 | P(Delta >= 5) = 0.691 | reject_H0

--- ITERATION 5: Tuning ageing (4.00 -> 3.35) ---
  G1: Score 1.0 | P(Delta >= 5) = 0.827 | continue
  G2: Score 0.0 | P(Delta >= 5) = 0.492 | continue
  G3: Score 1.0 | P(Delta >= 5) = 0.698 | continue
  G4: Score 0.0 | P(Delta >= 5) = 0.477 | continue
  G5: Score 1.0 | P(Delta >= 5) = 0.633 | continue
  G6: Score 0.0 | P(Delta >= 5) = 0.476 | continue
  G7: Score 1.0 | P(Delta >= 5) = 0.610 | continue
  G8: Score 0.0 | P(Delta >= 5) = 0.483 | continue
  G9: Score 1.0 | P(Delta >= 5) = 0.608 | continue
  G10: Score 0.0 | P(Delta >= 5) = 0.470 | continue
  G11: Score 1.0 | P(Delta >= 5) = 0.592 | continue
  G12: Score 0.0 | P(Delta >= 5) = 0.469 | continue
  G13: Score 0.0 | P(Delta >= 5) = 0.365 | continue
  G14: Score 0.5 | P(Delta >= 5) = 0.388 | continue
  G15: Score 1.0 | P(Delta >= 5) = 0.502 | continue
  G16: Score 0.5 | P(Delta >= 5) = 0.462 | continue
  G17: Score 1.0 | P(Delta >= 5) = 0.559 | continue
  G18: Score 0.0 | P(Delta >= 5) = 0.467 | continue
  G19: Score 0.5 | P(Delta >= 5) = 0.464 | continue
  G20: Score 0.5 | P(Delta >= 5) = 0.468 | continue
  G21: Score 1.0 | P(Delta >= 5) = 0.568 | continue
  G22: Score 0.0 | P(Delta >= 5) = 0.471 | continue
  G23: Score 0.5 | P(Delta >= 5) = 0.459 | continue
  G24: Score 0.0 | P(Delta >= 5) = 0.394 | continue
  G25: Score 1.0 | P(Delta >= 5) = 0.468 | continue
  G26: Score 0.0 | P(Delta >= 5) = 0.398 | continue
  G27: Score 0.5 | P(Delta >= 5) = 0.396 | continue
  G28: Score 0.0 | P(Delta >= 5) = 0.294 | continue
  G29: Score 1.0 | P(Delta >= 5) = 0.368 | continue
  G30: Score 0.0 | P(Delta >= 5) = 0.326 | continue
  G31: Score 1.0 | P(Delta >= 5) = 0.376 | continue
  G32: Score 1.0 | P(Delta >= 5) = 0.454 | continue
  G33: Score 0.5 | P(Delta >= 5) = 0.461 | continue
  G34: Score 0.0 | P(Delta >= 5) = 0.404 | continue
  G35: Score 1.0 | P(Delta >= 5) = 0.450 | reject_H0

--- ITERATION 6: Tuning ageing (4.00 -> 7.47) ---
  G1: Score 1.0 | P(Delta >= 5) = 0.805 | continue
  G2: Score 0.0 | P(Delta >= 5) = 0.483 | continue
  G3: Score 1.0 | P(Delta >= 5) = 0.691 | continue
  G4: Score 0.5 | P(Delta >= 5) = 0.643 | continue
  G5: Score 1.0 | P(Delta >= 5) = 0.793 | continue
  G6: Score 0.5 | P(Delta >= 5) = 0.811 | continue
  G7: Score 1.0 | P(Delta >= 5) = 0.898 | continue
  G8: Score 0.5 | P(Delta >= 5) = 0.874 | continue
  G9: Score 0.5 | P(Delta >= 5) = 0.874 | continue
  G10: Score 0.0 | P(Delta >= 5) = 0.766 | continue
  G11: Score 1.0 | P(Delta >= 5) = 0.829 | continue
  G12: Score 0.5 | P(Delta >= 5) = 0.848 | continue
  G13: Score 0.0 | P(Delta >= 5) = 0.705 | continue
  G14: Score 0.5 | P(Delta >= 5) = 0.733 | continue
  G15: Score 1.0 | P(Delta >= 5) = 0.826 | continue
  G16: Score 0.0 | P(Delta >= 5) = 0.705 | continue
  G17: Score 0.5 | P(Delta >= 5) = 0.672 | continue
  G18: Score 0.0 | P(Delta >= 5) = 0.607 | continue
  G19: Score 0.0 | P(Delta >= 5) = 0.454 | continue
  G20: Score 0.0 | P(Delta >= 5) = 0.361 | reject_H0

--- ITERATION 7: Tuning LMR_intercept (0.00 -> 1.23) ---
  G1: Score 0.5 | P(Delta >= 5) = 0.486 | continue
  G2: Score 0.5 | P(Delta >= 5) = 0.493 | continue
  G3: Score 1.0 | P(Delta >= 5) = 0.838 | continue
